,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Operating Cash Flow,1738900000.0,1492622000.0,991313000.0,800513000.0
Cash Flow From Continuing Operating Activities,1738900000.0,1492622000.0,991313000.0,800513000.0
Net Income From Continuing Operations,978436000.0,757516000.0,664347000.0,532367000.0
Operating Gains Losses,89541000.0,86645000.0,-1994000.0,-4052000.0
Gain Loss On Sale Of PPE,89541000.0,86645000.0,-1994000.0,-4052000.0
Depreciation Amortization Depletion,228405000.0,203676000.0,209986000.0,201676000.0
Depreciation And Amortization,228405000.0,203676000.0,209986000.0,201676000.0
Deferred Tax,-36913000.0,-128583000.0,-111526000.0,-82620000.0
Deferred Income Tax,-36913000.0,-128583000.0,-111526000.0,-82620000.0
Asset Impairment Charge,,,,0.0
Provisionand Write Offof Assets,-3477000.0,18515000.0,20875000.0,11669000.0
Stock Based Compensation,459029000.0,345272000.0,248584000.0,155001000.0
Other Non Cash Items,172755000.0,166045000.0,149499000.0,62750000.0
Change In Working Capital,-59335000.0,130181000.0,-188458000.0,-76278000.0
Change In Receivables,-251390000.0,201706000.0,-236806000.0,-8575000.0
Changes In Account Receivables,-251390000.0,201706000.0,-236806000.0,-8575000.0
Change In Inventory,1320000.0,-48046000.0,-55024000.0,-19243000.0
Change In Prepaid Assets,-89983000.0,-102174000.0,-11298000.0,-49779000.0
Change In Payables And Accrued Expense,-34066000.0,125133000.0,113773000.0,-19280000.0
Change In Other Current Assets,-15283000.0,-153037000.0,-83367000.0,-124895000.0
Change In Other Current Liabilities,-85828000.0,-82581000.0,-78578000.0,
Change In Other Working Capital,415895000.0,189180000.0,162842000.0,145494000.0
Investing Cash Flow,-572623000.0,-549030000.0,-360418000.0,-235877000.0
Cash Flow From Continuing Investing Activities,-572623000.0,-549030000.0,-360418000.0,-235877000.0
Capital Expenditure Reported,-2493000.0,-1976000.0,-4045000.0,-4259000.0
Net PPE Purchase And Sale,-136589000.0,-93764000.0,-154717000.0,-198129000.0
Purchase Of PPE,-136589000.0,-93764000.0,-154717000.0,-198129000.0
Sale Of PPE,,,0.0,0.0
Net Business Purchase And Sale,-422374000.0,-296017000.0,-201045000.0,-36605000.0
Purchase Of Business,-422374000.0,-296017000.0,-201045000.0,-36605000.0
Net Investment Purchase And Sale,-9967000.0,-156473000.0,-611000.0,3116000.0
Purchase Of Investment,-104245000.0,-169323000.0,-2762000.0,-3245000.0
Sale Of Investment,94278000.0,12850000.0,2151000.0,6361000.0
Net Other Investing Changes,-1200000.0,-800000.0,,
Financing Cash Flow,-1116300000.0,-748748000.0,-140606000.0,-561892000.0
Cash Flow From Continuing Financing Activities,-1116300000.0,-748748000.0,-140606000.0,-561892000.0
Net Issuance Payments Of Debt,-76838000.0,-28061000.0,-12390000.0,-331166000.0
Net Long Term Debt Issuance,-76838000.0,-28061000.0,-12390000.0,-331166000.0
Long Term Debt Issuance,0.0,,276489000.0,192897000.0
Long Term Debt Payments,-76838000.0,-28061000.0,-288879000.0,-524063000.0
Net Short Term Debt Issuance,,0.0,,
Short Term Debt Issuance,,0.0,,
Net Common Stock Issuance,-862044000.0,-542362000.0,-44675000.0,-172821000.0
Common Stock Issuance,237956000.0,210719000.0,197403000.0,156364000.0
Common Stock Payments,-1100000000.0,-753081000.0,-242078000.0,-329185000.0
Net Other Financing Charges,-177418000.0,-178325000.0,-83541000.0,-57905000.0
End Cash Position,1419864000.0,1435183000.0,1237970000.0,730527000.0
Changes In Cash,49977000.0,194844000.0,490289000.0,2744000.0
Effect Of Exchange Rate Changes,-65296000.0,2369000.0,17154000.0,2782000.0
Beginning Cash Position,1435183000.0,1237970000.0,730527000.0,725001000.0
Income Tax Paid Supplemental Data,167768000.0,149762000.0,70711000.0,75744000.0
Interest Paid Supplemental Data,1258000.0,3365000.0,5136000.0,12363000.0
Capital Expenditure,-139082000.0,-95740000.0,-158762000.0,-202388000.0
Issuance Of Capital Stock,237956000.0,210719000.0,197403000.0,156364000.0
Issuance Of Debt,0.0,0.0,276489000.0,192897000.0
Repayment Of Debt,-76838000.0,-28061000.0,-288879000.0,-524063000.0
Repurchase Of Capital Stock,-1100000000.0,-753081000.0,-242078000.0,-329185000.0
Free Cash Flow,1599818000.0,1396882000.0,832551000.0,598125000.0
