,Real GDP per Capita in the Republic of Korea (South Korea) (DISCONTINUED),Real GDP per Employed Person in the United States (DISCONTINUED),Real GDP per Hour Worked in the United States (DISCONTINUED),Real Gross Domestic Product for United Kingdom,Real Gross Domestic Product for Germany,Real Gross Domestic Product (Euro/ECU series) for Euro area (19 countries),Dates of U.S. recessions as inferred by GDP-based recession indicator,GDP-Based Recession Indicator Index,GDPNow,Nowcast for Real Personal Consumption Expenditures,Nowcast for Real Final Sales of Domestic Product
1960-01-01,1537.0,46951.0,,,,,,,,,
1960-04-01,,,,,,,,,,,
1960-07-01,,,,,,,,,,,
1960-10-01,,,,,,,,,,,
1961-01-01,1579.0,48026.0,,,,,,,,,
1961-04-01,,,,,,,,,,,
1961-07-01,,,,,,,,,,,
1961-10-01,,,,,,,,,,,
1962-01-01,1567.0,50049.0,,,,,,,,,
1962-04-01,,,,,,,,,,,
1962-07-01,,,,,,,,,,,
1962-10-01,,,,,,,,,,,
1963-01-01,1663.0,51519.0,,,,,,,,,
1963-04-01,,,,,,,,,,,
1963-07-01,,,,,,,,,,,
1963-10-01,,,,,,,,,,,
1964-01-01,1777.0,53332.0,,,,,,,,,
1964-04-01,,,,,,,,,,,
1964-07-01,,,,,,,,,,,
1964-10-01,,,,,,,,,,,
1965-01-01,1832.0,55397.0,,,,,,,,,
1965-04-01,,,,,,,,,,,
1965-07-01,,,,,,,,,,,
1965-10-01,,,,,,,,,,,
1966-01-01,2004.0,57295.0,,,,,,,,,
1966-04-01,,,,,,,,,,,
1966-07-01,,,,,,,,,,,
1966-10-01,,,,,,,,,,,
1967-01-01,2073.0,57383.0,,,,,,,,,
1967-04-01,,,,,,,,,,,
1967-07-01,,,,,,,,,,,
1967-10-01,,,,,,,0.0,3.834800000000005,,,
1968-01-01,2255.0,58922.0,,,,,0.0,1.7614000000000019,,,
1968-04-01,,,,,,,0.0,1.2127,,,
1968-07-01,,,,,,,0.0,2.3008999999999946,,,
1968-10-01,,,,,,,0.0,6.3338,,,
1969-01-01,2510.0,59294.0,,,,,0.0,12.950099999999997,,,
1969-04-01,,,,,,,1.0,20.460500000000003,,,
1969-07-01,,,,,,,1.0,45.702799999999996,,,
1969-10-01,,,,,,,1.0,89.2282,,,
1970-01-01,2671.0,59075.0,30.9,,,,1.0,97.60567,,,
1970-04-01,,,,,,,1.0,91.58425,,,
1970-07-01,,,,,,,1.0,94.99551,,,
1970-10-01,,,,,,,1.0,94.65547,,,
1971-01-01,2892.0,60822.0,32.08,,,,0.0,15.872900000000001,,,
1971-04-01,,,,,,,0.0,10.011499999999995,,,
1971-07-01,,,,,,,0.0,12.151800000000001,,,
1971-10-01,,,,,,,0.0,3.5814000000000012,,,
1972-01-01,3024.0,62223.0,32.88,,,,0.0,0.9639999999999982,,,
1972-04-01,,,,,,,0.0,0.27599999999999847,,,
1972-07-01,,,,,,,0.0,0.7746000000000031,,,
1972-10-01,,,,,,,0.0,0.3638999999999948,,,
1973-01-01,3410.0,63727.0,33.7,,,,0.0,0.7199999999999984,,,
1973-04-01,,,,,,,0.0,10.029600000000006,,,
1973-07-01,,,,,,,0.0,19.884100000000004,,,
1973-10-01,,,,,,,1.0,71.9536,,,
1974-01-01,3666.0,62213.0,33.4,,,,1.0,99.648569,,,
1974-04-01,,,,,,,1.0,99.17425899999999,,,
1974-07-01,,,,,,,1.0,99.342038,,,
1974-10-01,,,,,,,1.0,99.9832416,,,
1975-01-01,3870.0,62785.0,34.31,180405.0,,,1.0,99.9865102,,,
1975-04-01,,,,177442.3,,,0.0,42.8397,,,
1975-07-01,,,,176835.5,,,0.0,0.06720000000000059,,,
1975-10-01,,,,178863.1,,,0.0,0.4978000000000038,,,
1976-01-01,4321.0,64064.0,35.13,181693.7,,,0.0,0.07509999999999462,,,
1976-04-01,,,,181393.5,,,0.0,0.925699999999996,,,
1976-07-01,,,,183664.4,,,0.0,1.6889000000000043,,,
1976-10-01,,,,187560.4,,,0.0,2.409300000000003,,,
1977-01-01,4757.0,64693.0,35.5,187613.7,,,0.0,0.27359999999999607,,,
1977-04-01,,,,186310.5,,,0.0,0.38529999999999953,,,
1977-07-01,,,,187608.3,,,0.0,0.6147000000000014,,,
1977-10-01,,,,190827.0,,,0.0,7.3542,,,
1978-01-01,5168.0,65508.0,35.79,192529.0,,,0.0,11.924500000000005,,,
1978-04-01,,,,194771.8,,,0.0,0.29360000000000497,,,
1978-07-01,,,,197449.6,,,0.0,2.0132999999999956,,,
1978-10-01,,,,199240.3,,,0.0,0.8237999999999968,,,
1979-01-01,5517.0,65717.0,35.94,198533.1,,,0.0,48.534299999999995,,,
1979-04-01,,,,207302.7,,,1.0,69.9795,,,
1979-07-01,,,,202701.3,,,1.0,40.422999999999995,,,
1979-10-01,,,,204845.6,,,1.0,39.009499999999996,,,
1980-01-01,5329.0,65217.0,35.94,202901.2,,,1.0,81.7206,,,
1980-04-01,,,,198842.4,,,1.0,99.84910099999999,,,
1980-07-01,,,,198646.1,,,0.0,36.712900000000005,,,
1980-10-01,,,,196470.2,,,0.0,6.7876999999999965,,,
1981-01-01,5635.0,66133.0,36.78,196223.3,,,0.0,1.5912000000000037,,,
